pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_age,st_spectype,disc_year,density_proxy,spectral_class,pl_orbeccen_filled,flux_score,temp_score,radius_score,density_score,eccentricity_score,stellar_score,EHS
Kepler-1230 b,Kepler-1230,2.71,7.8,0.0921,0.0,946.0,153.933,5961.0,1.08,1.06,3.47,,2016.0,0.3919103473928491,,0.0,0.0013004720911711047,0.002558043680334531,0.017227471311635125,0.3148872297572725,1.0,,0.15973052234931054
Kepler-300 b,Kepler-300,1.67,3.43,0.094,0.0,812.0,265.186,5986.0,0.9,1.07,3.63,,2014.0,0.7364524420269148,,0.0,0.00028649935575398075,0.020689840423294133,0.5360798140311996,0.8048864154370392,1.0,,0.34342846738063665
GJ 3779 b,GJ 3779,2.75,8.0,0.026,0.07,526.94,12.8254,3324.0,0.281,0.27,,M4.0 V,2018.0,0.3846731780616078,M,0.07,0.1817165600456268,0.3967725656295758,0.014214791206736984,0.30629405309878055,0.973144963058051,0.5,0.3305705129943524
TOI-1422 c,TOI-1422,2.61,14.0,0.205,0.2,628.0,26.5556,5840.0,1.019,0.9903,4.6,G2 V,2025.0,0.7874201309918385,G,0.2,0.05978663582092614,0.1756762441178687,0.02731992774936836,0.8682988058317519,0.8007374029168081,1.0,0.37244951420353495
Kepler-920 b,Kepler-920,2.42,6.44,0.065,0.0,907.0,153.138,5403.0,0.85,0.89,4.37,,2016.0,0.4544015136932908,,0.0,0.0013183535228347173,0.004923183031710876,0.060776288639624185,0.394457909246734,1.0,,0.17990032192899894
TOI-1386 b,TOI-1386,6.2163865,45.8,0.173,0.0,615.03,34.68,5735.0,1.0235,1.0363,3.2,G5V,2024.0,0.190656427997528,G,0.0,0.03709670149153161,0.19784527142186126,3.862536900267916e-17,0.12912289162863375,1.0,1.0,0.31175551882011854
Kepler-687 b,Kepler-687,3.52,12.2,0.1326,0.0,518.0,15.648,4841.0,0.73,0.77,5.5,,2016.0,0.2797253592223891,,0.0,0.13785234874314276,0.42121474171980894,0.00014774836023203364,0.19765422383137907,1.0,,0.280589420688155
TOI-1669 b,TOI-1669,14.1,191.0,1.27,0.0,241.72,0.571,5497.0,1.0561,0.9867,7.7,,2023.0,0.0681359050891813,,0.0,0.9210340148895817,0.9977979480814885,3.069846158662212e-104,0.06629383247846715,1.0,,0.6311146783371057
HD 111232 c,HD 111232,12.2,5740.93451564,17.25,0.558,60.71,0.0023,5512.0,0.9,0.96,5.2,G8 V,2022.0,3.161572177649232,G,0.558,6.331847869201191e-05,0.6238423721547688,2.168953613135308e-76,0.02598312394830196,0.1773198703977963,1.0,0.2951146034852366
Kepler-1991 b,Kepler-1991,1.47,2.76,0.1065,0.0,760.0,78.79,5478.0,1.053,0.914,6.76,,2023.0,0.8688745524587732,,0.0,0.006769815551311208,0.04126203298553197,0.7357936579875285,0.9476871096174694,1.0,,0.41396741534610215
70 Vir b,70 Vir,12.6,2380.45,0.481,0.3988,525.24,12.2183,5495.0,1.89,1.09,7.77,G5V,1996.0,1.1900012797594053,G,0.3988,0.19376666174848514,0.40137034671499455,6.842059184017448e-82,0.972190501108876,0.4133074402559155,1.0,0.41726552891659935
HD 134060 c,HD 134060,5.91,29.29,2.3928,0.11,200.67,0.2515,5966.0,1.164285,1.095,5.6,G3 IV,2019.0,0.1418916794268657,G,0.11,0.6070745046682132,0.9637755328268358,2.8728488631776117e-15,0.10014928003727433,0.9349874032704532,1.0,0.5980374010631938
HIP 116454 b,HIP 116454,2.469,9.7,0.0792,0.215,753.2,51.2858,5048.0,0.758,0.8,5.5,K1,2014.0,0.6444785456114903,K,0.215,0.01722770580617083,0.04493490014878025,0.04992826241201435,0.673689503403017,0.7735186055390743,0.9,0.3030003698579108
Kepler-1646 b,Kepler-1646,1.23,2.04,0.0295,0.0,365.0,4.2,3299.0,0.26,0.24,4.68,,2016.0,1.0962631934469256,,0.0,0.5830399601192104,0.8596327636025423,0.9291619554873688,0.9927866091611144,1.0,,0.8268206997222309
Kepler-1637 b,Kepler-1637,0.89,0.64,0.0596,0.0,1093.0,337.78,5789.0,1.02,1.02,4.17,,2016.0,0.907841337704211,,0.0,0.00013906890142726647,0.00015407824502561442,0.9760904721403703,0.9738078155023987,1.0,,0.461958186885501
Kepler-50 c,Kepler-50,2.17,8.2,0.087,0.0,1125.0,388.444,6225.0,1.58,1.24,3.8,,2012.0,0.8024808008914975,,0.0,9.033599873998033e-05,7.780926861553764e-05,0.1493817752504181,0.8852207488919274,1.0,,0.2569842068149229
Kepler-1990 b,Kepler-1990,3.27,10.7,0.0286,0.0,1554.0,1372.87,5751.0,1.071,1.028,2.5,,2023.0,0.3060134532093846,,0.0,1.1529116751019706e-06,6.912548823795888e-10,0.0007795407797602017,0.22200527252708463,1.0,,0.14394908679391794
TOI-1749 c,TOI-1749,2.12,14.0,0.0443,0.019,673.0,36.1539,3985.0,0.55,0.58,0.8,M0 V,2021.0,1.469333745306528,M,0.019,0.03432057029038401,0.11258463827291487,0.1751307883451509,0.8419040795506818,0.9979964542271862,0.5,0.32511328127399597
Kepler-804 b,Kepler-804,1.94,4.42,0.11287,0.0,779.0,83.427,5817.0,1.05,1.01,5.25,,2016.0,0.6053646815453071,,0.0,0.0059345086222291794,0.03231576782215889,0.2931056302245987,0.6146647799482113,1.0,,0.2682757467761529
HD 160691 d,HD 160691,3.23,10.49,0.0952,0.0,900.0,209.5104,5773.0,1.33,1.13,5.7,G3 IV-V,2004.0,0.3112919723735348,G,0.0,0.0005623833032363993,0.005514840763714726,0.0010009501745566799,0.22712696847813652,1.0,1.0,0.27415645086127705
HD 191806 b,HD 191806,12.5,2966.61035094,2.749,0.213,206.98,0.2951,6010.0,1.40223,1.07,2.9,K0,2016.0,1.51890449968128,K,0.213,0.6769321581191818,0.9715874439525946,1.6925764319179646e-80,0.810291804610464,0.7772058768035824,0.9,0.6573002964617191
LP 261-75 b,LP 261-75 A,12.1,6674.396547,450.0,,1500.0,0.0,3138.0,0.308,0.22,0.15,M4.5 V,2006.0,3.767522849622452,M,0.0,,3.8495387539216765e-09,4.801277241771782e-75,0.002519394957576709,1.0,0.5,0.2336692536875539
Kepler-985 b,Kepler-985,2.98,9.17,0.44664,0.0,323.0,2.4,5434.0,0.85,0.91,3.39,,2016.0,0.346513806591335,,0.0,0.8180935415908412,0.9438386963005431,0.004317840007633078,0.2632863276943351,1.0,,0.6123333240338577
GJ 9714 b,GJ 9714,12.5,2988.54051102,12.319,0.155,47.68,0.0009,4263.0,0.662662,0.67,,K5V,2022.0,1.53013274164224,K,0.155,2.5377811934268995e-06,0.5843414572177914,1.6925764319179646e-80,0.8028695227779804,0.8750517756337902,0.9,0.4196610557300337
Kepler-930 b,Kepler-930,2.13,5.18,0.34593,0.0,561.0,16.851,6335.0,1.4,1.25,2.34,,2016.0,0.5360322869424294,,0.0,0.12371968435088171,0.3102273075618552,0.16974258044416274,0.5103255767685636,1.0,,0.3270075957244475
Kepler-834 b,Kepler-834,2.02,4.74,0.0862,0.0,378.0,11.845,4554.0,0.66,0.7,2.69,,2016.0,0.5750746626471293,,0.0,0.20176265567238424,0.8276933859508705,0.23574607655586352,0.5687838353484619,1.0,,0.4941258117109283
HATS-46 b,HATS-46,10.121727,54.98459,0.05367,0.559,1054.0,209.7699,5495.0,0.853,0.917,3.0,,2018.0,0.0530245672258208,,0.559,0.0005604370984968333,0.0003422351445489955,6.475882771297282e-51,0.06066534177908204,0.17622290923787912,,0.02811456635909426
K2-249 b,K2-249,2.79,8.2,0.1151,,1061.0,163.7274,6504.0,1.57,1.32,,,2018.0,0.3775732712013492,,0.0,0.0011040208816194617,0.00029739480266464106,0.0116769450598404,0.29799696495023836,1.0,,0.15584772904462318
Kepler-1887 b,Kepler-1887,2.92454357,8.88,0.1421,0.0,625.0,36.14,5749.0,0.864,0.961,0.5,,2021.0,0.3550084399843803,,0.0,0.034345385836684755,0.18063985161889398,0.005832782932535494,0.27251977422847373,1.0,,0.20368570681447581
HD 5891 b,HD 5891,12.6,2425.0429,0.64,0.07,918.78,96.1914,4673.0,10.64,1.93,1.5,G5,2011.0,1.212293538814703,G,0.07,0.004243940779849629,0.004056038157783333,6.842059184017448e-82,0.9654028515128912,0.973144963058051,1.0,0.3457269742836133
Kepler-454 c,Kepler-454,12.9,1433.40611557,1.287,0.0053,249.58,0.6814,5687.0,1.066,1.03,5.25,,2015.0,0.6677288212544993,,0.0053,0.9621851304519726,0.9996328624115045,3.8257802826272424e-86,0.7082111992810934,0.9998439566204793,,0.7191510243358251
Kepler-1565 b,Kepler-1565,1.19,1.81,0.0241,0.0,1234.0,510.566,4940.0,0.73,0.76,5.62,,2016.0,1.074082623657471,,0.0,3.7713998291213295e-05,6.265121978333193e-06,0.9510973184771085,0.9957214952984409,1.0,,0.45859093499909914
Kepler-355 b,Kepler-355,1.46,2.73,0.102,0.0,840.0,154.803,6184.0,1.066,0.933,10.0,,2014.0,0.8772110216263044,,0.0,0.001281264345107969,0.013872976053607142,0.7453593045429805,0.9539766904895848,1.0,,0.4088993426524153
LP 791-18 b,LP 791-18,1.212,1.94,0.00978,0.0,564.3,24.14,2960.0,0.182,0.139,0.5,M(6.1 +/- 0.7) V,2019.0,1.089667179965064,M,0.0,0.07026346907739962,0.30245247387848323,0.9394861311154251,0.9937382780848953,1.0,0.5,0.5403274160766212
Kepler-1632 b,Kepler-1632,2.47,6.66,0.6762,0.0,369.0,6.062,6137.0,1.19,1.12,3.09,,2016.0,0.4419604116283898,,0.0,0.42712551746457345,0.8500585920924473,0.04972487341234956,0.37789059013623283,1.0,,0.49944368409497175
K2-266 b,K2-266,3.3,11.26782377,0.01306,,1515.0,879.5,4285.0,0.703,0.686,,,2018.0,0.3135438063833932,,0.0,5.905551930945838e-06,2.406722436301052e-09,0.0006443798205686088,0.22933554623495594,1.0,,0.14478106759639592
HD 93963 A c,HD 93963 A,3.11976057,18.4,0.04726,0.0,1212.45,543.8,5908.0,1.0311,1.0844,1.3,G0 V,2022.0,0.6059740528787249,G,0.0,3.066040787310761e-05,1.0555312384217204e-05,0.0019482722492678943,0.6155885992719713,1.0,1.0,0.3119582905414958
Kepler-103 c,Kepler-103,5.4539,58.47,0.6679,0.103,434.0,5.97,6047.0,1.492,1.212,6.03,G2,2014.0,0.3604222403107254,G,0.103,0.43331071323328074,0.669976595028884,1.0825500716309686e-12,0.27850713629499796,0.942764380775552,1.0,0.5144501490213685
Kepler-85 e,Kepler-85,1.27,0.6,0.163,0.0,559.0,24.318,5436.0,0.893,0.947,1.38,,2014.0,0.2929139716547149,,0.0,0.06940667423143079,0.31499453169676334,0.903707077873196,0.20963061235693176,1.0,,0.44947653142063854
HD 154672 b,HD 154672,12.8,1706.7471,0.6,0.61,410.76,5.0225,5743.0,1.32,1.18,8.0,G3 IV,2008.0,0.8138404369354246,G,0.61,0.505430107723716,0.7384036002946937,1.0286619937923687e-84,0.8973600789846786,0.1265367850442718,1.0,0.5264279333927627
Kepler-938 b,Kepler-938,2.22,5.56,0.2689,0.0,544.0,8.57,5533.0,0.89,0.92,4.27,,2016.0,0.5081780100041603,,0.0,0.2985067308989632,0.3520392865833991,0.12653678504427168,0.469586519014107,1.0,,0.37329476347257134
GJ 163 c,GJ 163,2.5,6.8,0.1254,0.099,305.07,1.2457,3500.0,0.409738,0.4,6.0,M,2013.0,0.4352,M,0.099,0.9874355320572293,0.9691483709182256,0.04393693362340742,0.3690319696782798,0.9470058579669858,0.5,0.6560797266871605
TOI-620 b,TOI-620,3.76,13.6,0.04825,0.22,603.6,20.8,3708.0,0.55,0.577,7.2,M2.5 V,2022.0,0.2558440807913468,M,0.22,0.08955483998107762,0.21892534449492587,2.541934651619929e-05,0.1771913423115924,0.7642281651714904,0.5,0.2353208135118661
Kepler-1457 b,Kepler-1457,1.99,4.62,0.26391,0.0,478.0,23.468,5866.0,1.01,1.01,3.72,,2016.0,0.5862498523272153,,0.0,0.0736362669231429,0.5370777011830891,0.2563401514150736,0.5856890848215263,1.0,,0.39489593615596574
GJ 3512 c,GJ 3512,14.3,143.97626837,1.731,0.089,42.92,0.0005,3141.0,0.139,0.123,5.5,M5.5 V,2020.0,0.0492360042808186,M,0.089,2.6742060981998087e-07,0.569940060899227,2.0058128594964988e-107,0.05931752125289426,0.9569486410769396,0.5,0.2906146952679812
HD 45184 c,HD 45184,2.91,8.81,0.11,0.07,884.78,93.3884,5869.0,1.075139,1.03,6.8,G1.5 V,2019.0,0.3575172008992227,G,0.07,0.004554033239339145,0.007028474431716168,0.006302521071477445,0.2752844203934363,0.973144963058051,1.0,0.27864764575562223
GJ 436 b,GJ 436,4.17,22.1,0.0291,0.13827,686.0,29.4322,3586.11,0.455,0.47,6.0,M2.5 V,2004.0,0.3047783466375977,M,0.13827,0.049964390227453186,0.09807600889158469,8.682331472284711e-07,0.22081807967952496,0.8992318276058284,0.5,0.21911146371034504
K2-148 c,K2-148,1.73,3.64,0.0616,,630.02,26.5,4079.0,0.632,0.65,,,2018.0,0.7030125439455267,,0.0,0.06000224157429425,0.1723892970079857,0.4770476543010144,0.7590938643459462,1.0,,0.37740863187055085
