pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_age,st_spectype,disc_year
Kepler-962 b,Kepler-962,1.97,4.54,0.09874,0.0,689.0,53.823,5478.0,0.86,0.93,2.4,,2016.0
OGLE-2018-BLG-1126L b,OGLE-2018-BLG-1126L,4.41,17.79839079,3.23,,,,,,0.69,,,2022.0
Kepler-1663 b,Kepler-1663,3.30395896,10.9,0.1072,0.0,362.0,4.07,3844.0,0.62859,0.610816,0.0,,2020.0
Kepler-1998 b,Kepler-1998,0.6,0.156,0.0405,0.0,1187.0,468.31,5640.0,0.921,0.962,4.27,,2023.0
Kepler-921 b,Kepler-921,2.87,8.6,0.2716,0.0,492.0,15.007,5663.0,0.91,0.93,4.27,,2016.0
Kepler-1137 b,Kepler-1137,2.2,5.48,0.1871,0.0,1020.0,197.846,6807.0,1.84,1.5,1.58,,2016.0
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,3.35,11.2,3.5,,,,5200.0,,0.78,,,2022.0
HD 224538 b,HD 224538,12.7,2075.73732612,2.375,0.476,236.74,0.523,6097.0,1.54,1.23,2.0,F8/G0 IV/V,2016.0
K2-63 c,K2-63,3.9,14.5,0.189,,958.85,139.0,6771.0,1.63,1.4,,,2016.0
KOI-4978 b,KOI-4978,0.7,0.271,,,,,5050.28,0.966,0.859,1.48,G,2024.0
TOI-3364 b,TOI-3364,12.22899794,530.77343969,0.0675,0.0,1264.0,425.0,5706.0,1.419,1.186,5.4,,2023.0
Kepler-569 b,Kepler-569,3.16,10.1,0.19784,0.0,526.0,19.314,5616.0,0.93,0.95,4.9,,2016.0
Kepler-1539 b,Kepler-1539,2.7,7.75,0.4765,0.0,301.0,1.572,5176.0,0.8,0.84,4.79,,2016.0
HIP 4845 b,HIP 4845,3.89,14.4,0.176,0.25,358.21,2.9859,4010.0,0.603999,0.62,,K7V,2020.0
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,9.6,66.74396547,2.8,,,,,,0.56,,,2022.0
Kepler-1482 b,Kepler-1482,1.01,1.01,0.09968,0.0,678.0,86.499,5381.0,0.84,0.88,4.47,,2016.0
HATS-53 b,HATS-53,15.02006,189.10885,0.04753,0.33,1312.0,471.61,5644.0,1.101,0.964,9.0,,2017.0
TOI-5422 b,TOI-5422,9.10169233,8899.195396,0.0619,0.094,1369.0,580.0,5820.0,1.474,1.066,7.6,,2026.0
LHS 1678 d,LHS 1678,0.981,0.907,0.04,0.036,462.95,9.1,3490.0,0.329,0.345,7.0,M2.0 V,2024.0
Kepler-289 c,Kepler-289,11.23,157.18,0.50155,0.0,394.0,4.882,5990.0,1.0,1.08,0.65,,2014.0
WASP-161 b,WASP-161,12.811887,791.3967,0.0673,,1557.0,990.0,6400.0,1.712,1.39,,,2018.0
Kepler-449 c,Kepler-449,2.764,8.07,0.1979,0.05,661.0,45.09,5649.18,1.467,1.02,9.77,,2015.0
Kepler-169 e,Kepler-169,2.2,5.48,0.105,0.0,595.0,28.548,4997.0,0.763,0.825,0.79,,2014.0
KMT-2018-BLG-0030L b,KMT-2018-BLG-0030L,13.6,460.85119015,4.39,,,,,,0.51,,,2022.0
HD 12484 b,HD 12484,13.2,947.1334,0.297,0.07,524.3,11.9305,5920.0,1.001848,1.01,,F8,2016.0
Kepler-1003 b,Kepler-1003,1.78,3.82,0.04333,0.0,1157.0,814.925,6109.0,1.17,1.11,3.16,,2016.0
Kepler-213 b,Kepler-213,1.62,3.26,0.036,0.0,1326.0,833.469,5696.0,1.195,1.07,1.62,,2014.0
HD 86950 b,HD 86950,13.0,1144.188,2.72,0.17,416.76,4.9065,4805.0,8.8,1.66,,K1 III,2016.0
HD 127506 b,HD 127506,5.67,27.333243,0.287,0.24,354.8,2.6404,4595.32,0.735766,0.73,,K3V,2022.0
TOI-1347 c,TOI-1347,1.6,6.4,0.0546,0.0,1000.0,183.6642,5464.0,0.83,0.913,1.4,,2024.0
Kepler-54 c,Kepler-54,1.23,0.7,0.0809,0.0,395.0,3.07,3705.0,0.5,0.51,4.83,M1 V,2012.0
Kepler-1150 b,Kepler-1150,1.02,1.04,0.0382,0.0,1432.0,153.741,4754.0,0.72,0.76,4.68,,2016.0
Kepler-390 c,Kepler-390,0.79,0.418,0.101,0.0,630.0,41.351,5166.0,0.776,0.787,3.24,,2014.0
Kepler-1092 b,Kepler-1092,2.07,4.94,0.2996,0.0,508.0,17.016,5862.0,1.0,0.99,3.8,,2016.0
Kepler-259 c,Kepler-259,2.7,7.75,0.217,0.0,530.0,15.054,5938.0,0.898,0.867,0.4,,2014.0
Kepler-1765 b,Kepler-1765,2.49508857,6.78,0.0917,0.0,855.0,126.48,5692.0,1.064,0.946,11.9,,2021.0
