pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_age,st_spectype,disc_year
HD 77946 b,HD 77946,2.89646124,10.9,0.073,0.211,1128.86,413.1008,6007.0,1.3174,1.1973,3.1,F5,2024.0
LHS 1478 b,LHS 1478,1.242,2.33,0.01848,,595.0,23.3722,3381.0,0.246,0.236,,m3 V,2021.0
TOI-5143 c,TOI-5143,16.25302201,,0.05602,,904.48,158.1646,5183.0,0.852,0.864,7.4,K V,2025.0
TOI-815 c,TOI-815,2.62,23.5,0.193,0.22,469.0,8.03,4869.0,0.77,0.776,0.2,K3 V,2024.0
TIC 67686059 b,TIC 67686059,2.59125922,7.23,,,,,5090.09,0.820458,0.86,,,2026.0
WASP-171 b,WASP-171,10.98482,344.52772,0.0504,0.0,1642.0,1200.24,5965.0,1.637,1.171,5.908,G0,2019.0
Kepler-80 c,Kepler-80,2.74,6.74,0.0792,0.0079,495.0,36.482,4540.0,0.678,0.73,2.0,K5,2012.0
HATS-49 b,HATS-49,8.574885,112.19399,0.04515,0.071,834.8,80.45,4405.0,0.6977,0.7133,10.5,,2020.0
EPIC 206317286 b,EPIC 206317286,0.96,0.84,,,,,4752.0,0.669,0.711,,,2019.0
Kepler-925 b,Kepler-925,2.34,6.08,0.1805,0.0,394.0,5.833,4673.0,0.72,0.77,2.57,,2016.0
HD 73267 b,HD 73267,13.0,1321.53051631,2.229,0.261,165.89,0.1577,5387.0,0.909,0.93,8.14,K0 V,2008.0
Kepler-1631 b,Kepler-1631,1.35,2.39,0.0511,0.0,1122.0,446.918,5679.0,0.95,0.97,4.17,,2016.0
Kepler-1893 b,Kepler-1893,1.70557445,3.55,0.0504,0.0,1194.0,478.98,5633.0,1.162,0.973,13.9,,2021.0
KELT-12 b,KELT-12,19.95202,301.9385,0.06708,0.0,1800.0,1749.0,6279.0,2.37,1.591,2.2,,2017.0
HD 63433 b,HD 63433,2.14,21.755,0.072,0.24,967.11,145.5707,5553.0,0.934,0.956,0.414,G5 V,2020.0
HD 72892 b,HD 72892,12.8,1737.88572948,0.228,0.419,634.46,26.9314,5688.0,1.22,1.01,8.0,G5 V,2016.0
Kepler-1139 b,Kepler-1139,1.19,1.81,0.01664,0.0,1693.0,1717.276,5550.0,0.91,0.94,4.47,,2016.0
HD 149806 b,HD 149806,12.3,4003.68444298,12.404,0.357,69.13,0.0037,5352.05,0.89,0.93,8.36,K0V,2022.0
Kepler-231 b,Kepler-231,1.73,35.4,0.074,0.0,488.0,14.879,3767.0,0.49,0.58,3.15,M1 V,2014.0
HD 110082 b,HD 110082,3.2,10.3,0.113,0.2,957.2,198.3948,6200.0,1.19,1.21,0.25,F8 V,2021.0
Kepler-1142 b,Kepler-1142,1.47,2.76,0.1343,0.0,902.0,147.817,5685.0,0.96,0.97,5.37,,2016.0
Kepler-82 e,Kepler-82,2.47,254.02,0.063,0.0,926.0,144.337,5428.0,0.945,0.946,1.41,,2014.0
HD 167042 b,HD 167042,13.6,444.00628458,1.22,0.01,462.08,7.6592,4919.0,4.63,1.39,2.2,K1 IV,2007.0
K2-16 c,K2-16,2.54,6.99,0.1229,,485.0,13.1,4742.0,0.66,0.68,,K3 V,2015.0
TRAPPIST-1 h,TRAPPIST-1,0.755,0.326,0.06189,0.00567,171.7,0.144,2566.0,0.1192,0.0898,7.6,M8.0 V,2017.0
HD 169830 b,HD 169830,13.2,804.42369812,0.765,0.294,345.0,7.8465,6300.0,1.935709,1.17,2.2,F8 V,2000.0
Kepler-853 b,Kepler-853,1.69,3.5,0.079,0.0,1187.0,499.301,6350.0,1.55,1.3,2.69,,2016.0
Kepler-449 b,Kepler-449,2.056,4.88,0.1027,0.03,917.0,167.41,5649.18,1.467,1.02,9.77,,2015.0
BD+05 4868 A b,BD+05 4868 A,,6.2,0.0208,,1820.0,443.787,4596.0,0.69,0.7,11.1,K V,2025.0
TOI-5599 b,TOI-5599,7.1888212,40.9,,,1496.0,833.218,6137.02,1.91334,1.21,,,2026.0
Kepler-906 b,Kepler-906,2.11,5.1,0.22363,0.0,537.0,21.987,6035.0,1.02,1.06,1.86,,2016.0
Kepler-1912 b,Kepler-1912,1.35670508,2.41,0.06489,0.0,976.0,201.8,5734.0,0.962,0.977,2.24,,2021.0
HIP 57274 c,HIP 57274,14.2,130.0,0.178,0.05,437.32,48.8832,4640.0,0.68,0.73,7.87,K4 V,2011.0
TOI-431 d,TOI-431,3.29,9.9,0.098,0.0,633.0,28.3588,4850.0,0.731,0.78,,,2021.0
HATS-1 b,HATS-1,14.594,589.55,0.0444,0.12,1359.0,489.9461,5870.0,1.038,0.986,6.0,,2012.0
KMT-2019-BLG-1042L b,KMT-2019-BLG-1042L,9.05,60.38739733,1.7,,,,,,0.3,,,2022.0
Kepler-735 b,Kepler-735,2.95,9.01,0.0965,0.0,657.0,32.679,5107.0,0.8,0.85,4.37,,2016.0
GJ 341 b,GJ 341,0.88,4.0,,0.0,629.0,13.8,3770.0,0.5066,0.48,,M1,2025.0
HD 100655 b,HD 100655,13.5,511.7063,0.68,0.09,907.14,92.9931,4891.0,10.06,2.28,1.309,G9 III,2011.0
GJ 676 A c,GJ 676 A,12.3,4288.14086724,9.726,0.295,47.96,0.001,3734.0,0.69,0.626,,M0,2016.0
HD 25463 b,HD 25463,2.54535814,8.7,0.076,0.0,1198.46,461.4,6353.0,1.4182,1.251,2.3,,2023.0
TOI-5160 b,TOI-5160,2.39729851,6.33,,,1016.0,177.537,5622.14,1.03315,1.003,,,2026.0
TOI-1260 c,TOI-1260,2.76,13.2,0.0657,0.0,651.0,29.81,4227.0,0.672,0.679,6.7,K6 V,2021.0
TOI-3235 b,TOI-3235,11.39953337,211.35589065,0.02709,0.029,604.0,13.8883,3388.8,0.3697,0.3939,,M V,2023.0
Kepler-1730 b,Kepler-1730,4.48524519,18.4,0.1131,0.0,833.0,113.75,5942.0,1.142,1.009,7.4,,2021.0
Kepler-1583 b,Kepler-1583,0.6,0.156,0.08307,0.0,788.0,124.307,5645.0,0.91,0.94,4.27,,2016.0
Kepler-306 e,Kepler-306,2.27,5.77,0.227,0.0,390.0,6.185,4954.0,0.719,0.75,2.63,,2014.0
HD 217958 b,HD 217958,14.2,166.54208527,3.758,0.156,169.89,0.1388,5930.64,1.32619,1.08,,,2022.0
KMT-2019-BLG-0298L b,KMT-2019-BLG-0298L,13.4,575.26941667,5.67,,,,,,0.7,,,2023.0
Kepler-1839 b,Kepler-1839,1.9493759,4.46,0.0583,0.0,1049.0,286.32,5926.0,0.939,1.03,0.4,,2021.0
OGLE2-TR-L9 b,OGLE2-TR-L9,18.046,1430.175,0.0308,,2034.0,4135.4482,6933.0,1.53,1.52,1.0,,2008.0
Kepler-694 b,Kepler-694,2.8,8.25,0.0659,0.0,914.0,206.438,5700.0,0.95,0.97,4.07,,2016.0
Kepler-150 d,Kepler-150,2.79,8.2,0.104,0.0,734.0,65.142,5560.0,0.939,0.956,1.74,,2014.0
Kepler-1994 b,Kepler-1994,0.51,0.087,0.053,0.0,1032.0,268.27,5495.0,0.961,0.932,5.01,,2023.0
K2-396 b,K2-396,1.579,3.12,,,,,5236.0,0.92,0.954,,G9,2022.0
HD 10442 b,HD 10442,13.6,472.61321,2.01,0.132,234.49,0.5054,4912.0,1.97,1.01,10.65,K0 IV,2014.0
Kepler-148 c,Kepler-148,3.6,12.6,0.05,0.0,957.0,187.197,5272.0,0.851,0.86,11.2,,2014.0
HATS-32 b,HATS-32,14.000041,292.4036,0.04024,0.471,1437.0,614.5934,5700.0,1.097,1.099,3.5,,2016.0
Kepler-547 b,Kepler-547,4.0,15.1,0.058,0.0,768.0,87.713,4828.0,0.73,0.78,2.88,,2016.0
V2376 Ori b,V2376 Ori,87.20586985,6356.56814,71.0,,2100.0,,,,0.45,0.007,M,2025.0
WASP-38 b,WASP-38,13.78707,1093.3352,0.07522,0.03,1250.0,501.5014,6180.0,1.52,1.76,3.29,F8 V,2010.0
Kepler-1488 c,Kepler-1488,1.65156749,3.37,0.06959,0.0,1212.0,760.6,5710.0,1.524,1.003,5.75,,2021.0
Kepler-124 c,Kepler-124,1.75,3.71,0.1,0.0,560.0,30.716,4984.0,0.636,0.706,1.82,,2014.0
Kepler-198 c,Kepler-198,2.47,6.66,0.259,0.0,465.0,11.354,5574.0,0.94,0.995,0.51,,2014.0
Kepler-129 b,Kepler-129,2.4,20.0,0.13,0.01,910.0,158.306,5770.0,1.653,1.178,6.43,G4 V,2014.0
LHS 1903 c,LHS 1903,2.046,4.55,0.05387,0.089,559.0,16.2,3664.0,0.539,0.538,7.08,M,2026.0
HAT-P-57 b,HAT-P-57,19.50366,448.1403,0.0406,0.0,2200.0,2726.6328,6330.0,1.85,2.77,1.0,A8 V,2015.0
Kepler-446 b,Kepler-446,1.5,2.86,0.0182,0.0,648.0,16.213,3359.0,0.24,0.22,3.72,M4,2015.0
HD 8326 b,HD 8326,9.58,66.6,0.533,0.2,287.23,1.1342,4914.0,0.783181,0.8,,K2 V,2019.0
K2-216 b,K2-216,1.75,8.0,0.028,0.0,1103.0,248.0,4503.0,0.72,0.7,,K5 V,2018.0
Kepler-167 d,Kepler-167,1.238,2.06,0.1404,0.0,538.0,14.489,4884.0,0.749,0.777,7.1,K4,2016.0
Kepler-1549 b,Kepler-1549,2.57,7.13,0.6687,0.0,286.0,1.184,5324.0,0.84,0.88,4.79,,2016.0
Kepler-1198 b,Kepler-1198,1.47,2.76,0.0732,0.0,830.0,108.069,5517.0,0.9,0.93,4.68,,2016.0
HD 143811 AB b,HD 143811 A,15.69257298,1938.7532827,63.0,0.19,1042.0,0.0011,6791.0,1.68398,1.32,0.018,,2025.0
WASP-104 b,WASP-104,12.745,404.263,0.02918,0.0,1516.0,867.7365,5475.0,0.963,1.076,3.0,G8,2014.0
51 Peg b,51 Peg,14.3,146.2018,0.0527,0.013,1311.39,492.82,5758.0,1.17561,1.03,10.0,G5V,1995.0
TOI-1801 b,TOI-1801,2.079,5.738,0.075,0.0,493.7,10.7276,3863.0,0.547,0.556,0.7,M0.5+/-0.5 V,2023.0
TOI-762 A b,TOI-762 A,8.33948164,79.77493016,0.03418,0.083,555.4,17.0012,3266.0,0.425,0.442,9.3,,2024.0
TOI-5335 b,TOI-5335,4.02422162,15.3,,,1048.0,200.83,5528.92,0.916633,0.945,,,2026.0
K2-187 e,K2-187,1.9,4.27,0.1106,,698.0,52.0501,5438.0,0.83,0.966999,,,2018.0
Kepler-1086 c,Kepler-1086,2.94,8.96,0.503,0.0,211.0,0.519,4350.0,0.66,0.7,2.88,,2016.0
K2-32 e,K2-32,1.212,2.1,0.04899,0.043,1066.0,210.7222,5271.0,0.86,0.83,7.9,G9 V,2019.0
Kepler-1800 b,Kepler-1800,0.99679734,0.961,0.05098,0.0,1533.0,242.0,5343.0,2.506,1.33,11.75,,2021.0
55 Cnc B c,55 Cnc B,2.16,5.3,0.13,0.0,230.04,0.4613,3286.0,0.274,0.26,10.0,M4.5 V,2025.0
Kepler-78 b,Kepler-78,1.201,1.68,0.00901,0.0,2223.0,4070.0,5058.0,0.7475,0.779,0.625,G,2013.0
Kepler-1944 b,Kepler-1944,2.75971163,8.05,0.0918,0.0,801.0,97.62,5585.0,0.972,1.064,,,2021.0
TOI-1742 b,TOI-1742,2.36507598,9.7,0.154,0.3,694.09,58.618,5815.0,1.131,1.0861,3.9,,2024.0
K2-105 b,K2-105,3.4,15.4,0.0796,0.0,805.0,100.0,5373.0,0.905,0.94,0.6,K1,2017.0
BD+45 564 b,BD+45 564,13.6,432.24663352,0.83,0.12,238.82,0.579,5004.0,0.813064,0.81,,K1,2021.0
WASP-60 b,WASP-60,9.86392,174.8065,0.05548,0.0,1479.0,925.4935,5900.0,1.17,1.19,1.7,G1 V,2012.0
HD 11343 c,HIP 8541,13.9,255.53403923,0.923,0.169,613.29,23.9661,4672.0,6.84,2.009,10.97,K2 III/IV,2022.0
Kepler-1762 b,Kepler-1762,2.76022913,8.05,0.204,0.0,714.0,61.49,6572.0,1.238,1.298,0.28,,2021.0
HD 102329 c,HD 102329,13.5,483.1016,,0.209,,,4830.0,6.3,1.3,1.6,K0 III,2016.0
HD 7449 b,HD 7449,12.6,2597.92939882,2.438,0.752,183.23,0.2125,6024.0,0.97,1.196,2.1,F9.5 V,2011.0
HD 197037 b,HD 197037,13.9,251.0,2.07,0.22,216.67,0.4042,6150.0,1.105,1.11,1.9,F7 V,2012.0
K2-270 b,K2-270,1.38,2.48,0.0247,,1203.0,497.0717,4877.0,0.77,0.85,,,2018.0
Kepler-1529 b,Kepler-1529,2.1,5.06,0.0525,0.0,817.0,115.765,5048.0,0.77,0.81,4.79,,2016.0
Kepler-98 b,Kepler-98,1.99,3.55,0.02614,0.0,1592.0,1107.389,5539.0,1.11,0.99,2.79,,2014.0
HD 140901 b,HD 140901,4.07,15.57359194,0.085,0.472,904.37,109.3426,5610.0,0.95,0.99,3.2,G7 IV,2022.0
Pr0201 b,Pr0201,14.2,171.6282,0.06,0.0,1303.39,487.9693,6174.0,1.15,1.24,,,2012.0
WASP-6 b,WASP-6,12.5428494,148.42586607,0.04217,0.054,1167.0,288.0,5438.0,0.79,0.854,3.2,,2009.0
WASP-189 b,WASP-189,18.14733975,632.47852993,0.05053,0.0,3353.0,8083.7169,8000.0,2.36,2.03,0.73,,2020.0
Kepler-362 b,Kepler-362,0.88,0.615,0.087,0.0,838.0,207.336,5788.0,0.722,0.904,12.88,,2014.0
TOI-2295 b,TOI-2295,16.47720163,278.09985612,0.1992,0.334,747.0,42.0912,5730.0,1.459,1.168,10.5,,2024.0
HD 99283 b,HD 99283,13.8,308.29355479,1.08,0.2,759.06,55.3069,4886.0,11.21,1.76,,K0 III,2021.0
HD 39194 b,HD 39194,1.99,4.62,0.05895,0.101,915.16,112.2269,5205.0,0.783742,0.86,10.0,K0 V,2021.0
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,12.9,111.0,0.763,,,,,,0.094,,M,2019.0
TIC 24750448 b,TIC 24750448,2.43722231,6.51,,,,,4545.43,0.713599,0.69,,,2026.0
Kepler-656 c,Kepler-656,1.41,2.57,0.0602,0.0,975.0,213.25,5550.0,0.954,1.05,2.4,,2023.0
TOI-1295 b,TOI-1295,15.69257298,451.31633794,0.047,0.024,2360.0,1800.0,6280.0,1.7,1.38,2.0,F,2024.0
IRAS 04125+2902 b,IRAS 04125+2902,10.73820351,80.8,0.077,,854.0,41.4199,4080.0,1.45,0.7,0.0033,,2024.0
NGTS-15 b,NGTS-15,12.32987877,238.68913366,0.0441,0.0,1146.0,425.0,5600.0,0.954,0.995,3.28,G6 V,2021.0
HD 62509 b,HD 62509,13.3,731.0,1.64,0.02,549.6,15.2164,4892.63,8.9,2.0,0.98,K0IIIvar,2006.0
HD 81817 b,HD 81817,12.0,7668.5638041,3.233,0.097,1016.37,174.402,4140.0,83.8,4.3,0.15,K3 III,2020.0
Kepler-1941 b,Kepler-1941,2.64976949,7.51,0.2054,0.0,666.0,46.53,6404.0,1.142,1.175,,,2021.0
Kepler-1691 b,Kepler-1691,1.83470985,4.02,0.0495,0.0,1283.0,641.53,6000.0,1.13152,1.11,0.61,,2020.0
TOI-2184 b,TOI-2184,11.39953337,206.58846455,,0.08,1676.05,1429.0,5966.0,2.9,1.53,2.3,,2022.0
K2-254 b,K2-254,1.63,3.29,0.0448,,791.0,74.9905,4629.0,0.67,0.71,,,2018.0
WASP-47 c,WASP-47,,447.0,1.393,0.264,247.0,0.549,5565.0,1.156,1.058,6.5,G9,2015.0
OGLE-2016-BLG-1598L b,OGLE-2016-BLG-1598L,13.6,120.77479466,2.5,,,,,,0.55,,,2024.0
Kepler-180 c,Kepler-180,3.01,9.32,0.229,0.0,540.0,16.423,5731.0,1.063,0.95,9.7,,2014.0
Kepler-1316 b,Kepler-1316,3.54,12.3,0.39765,0.0,446.0,10.714,5884.0,1.12,1.04,5.13,,2016.0
EPIC 212297394 b,EPIC 212297394,1.48,2.79,,,1149.0,,5171.0,0.8,0.83,,,2019.0
WASP-165 b,WASP-165,14.12334,209.13214,0.04823,0.0,1624.0,1373.5324,5599.0,1.75,1.248,4.77,G6,2018.0
Kepler-408 b,Kepler-408,0.82,5.0,0.03592,0.0,1561.0,1503.581,6104.0,1.23,1.08,6.68,,2014.0
OGLE-2018-BLG-1212L b,OGLE-2018-BLG-1212L,9.32,63.5656814,1.68,,,,,,0.16,,,2022.0
Kepler-1542 b,Kepler-1542,0.76,0.363,0.04765,0.0,1160.0,518.437,5564.0,0.99,0.94,8.51,,2016.0
Kepler-1311 d,Kepler-1311,9.65837605,67.5,0.68434,0.0,391.0,6.0,5616.0,1.674,1.032,7.59,,2021.0
Kepler-1866 b,Kepler-1866,2.08215108,4.99,0.1016,0.0,834.0,114.36,5791.0,1.083,1.03,0.3,,2021.0
K2-165 d,K2-165,2.64809498,7.5,,,629.38,37.0819,5185.0,0.803827,0.834847,,,2018.0
TOI-2018 b,TOI-2018,2.268,9.2,,0.0,576.34,26.0758,4174.0,0.62,0.57,,K V,2023.0
HD 155918 b,HD 155918,2.67,7.62788177,0.03,0.194,1622.13,1153.7389,5771.84,1.01906,1.03,12.3,G2V,2022.0
DMPP-2 d,DMPP-2,11.6,91.79,0.1432,0.1,1105.06,61.9324,6500.0,1.78,1.41,2.0,F5 V,2026.0
Kepler-300 c,Kepler-300,2.25,5.69,0.232,0.0,516.0,43.248,5986.0,0.9,1.07,3.63,,2014.0
Kepler-1392 b,Kepler-1392,1.96,4.5,0.1189,0.0,714.0,61.42,5479.0,0.85,0.88,4.68,,2016.0
TOI-669 b,TOI-669,2.58606487,10.0,0.048,0.0,1124.85,388.2,5597.0,0.9882,0.9245,7.9,,2023.0
Kepler-347 b,Kepler-347,1.97,4.54,0.11,0.0,908.0,180.549,6088.0,1.005,0.922,11.75,,2014.0
WASP-184 b,WASP-184,14.90797,181.1631,0.0627,0.0,1480.0,669.018,6000.0,1.65,1.23,4.7,G0 V,2019.0
TOI-4559 b,TOI-4559,1.415,2.59,0.0359,,554.16,15.77,3558.0,0.374,0.392,7.0,,2024.0
OGLE-2019-BLG-0304L b,OGLE-2019-BLG-0304L,14.2,162.09248757,1.23,,,,,,0.27,,,2021.0
WASP-25 b,WASP-25,13.80946422,179.25522155,0.0473,0.0,1217.0,341.0,5697.0,0.884,0.962,1.9,,2010.0
Kepler-105 c,Kepler-105,1.44,5.6,0.07229,0.02,997.0,236.167,5933.0,1.026,0.991,4.27,,2014.0
TOI-199 b,TOI-199,9.07927437,54.03082919,0.4254,0.09,476.27,8.5419,5255.0,0.82,0.936,0.8,G9 V,2023.0
HD 34445 d,HD 34445,6.07,30.7,0.4817,0.027,476.32,8.6625,5836.0,1.38,1.07,8.5,G0 V,2017.0
TOI-700 c,TOI-700,2.6,7.27,0.0929,0.068,356.0,2.64,3459.0,0.421,0.415,1.5,M2.5 V,2020.0
TOI-6954 b,TOI-6954,3.63524486,12.8,,,930.0,124.569,5170.87,0.947112,0.834,,,2026.0
LHS 1903 e,LHS 1903,1.732,5.79,0.15135,0.014,333.0,2.05,3664.0,0.539,0.538,7.08,M,2026.0
OGLE-2017-BLG-1275L b,OGLE-2017-BLG-1275L,12.8,1875.1876013,2.09,,,,,,0.63,,,2024.0
Kepler-504 b,Kepler-504,1.59,3.15,0.0646,0.0,374.0,5.991,3519.0,0.33,0.33,4.17,,2016.0
HD 199509 b,HD 199509,7.43,43.22466335,0.426,0.373,410.73,4.5393,5796.02,0.92,1.04,1.6,G3V,2022.0
Kepler-256 d,Kepler-256,2.48,6.71,0.064,0.0,1097.0,221.1,5551.0,1.301,1.037,1.82,,2014.0
Kepler-214 c,Kepler-214,2.13,5.18,0.194,0.0,619.0,87.244,6169.0,1.352,1.11,1.58,,2014.0
Kepler-197 d,Kepler-197,1.22,1.98,0.119,0.03,810.0,109.091,6004.0,1.12,0.857,5.37,,2014.0
HIP 5158 b,HIP 5158,13.6,451.0,0.89,0.52,219.65,0.1389,4962.0,0.75,0.78,6.0,,2009.0
HD 33142 b,HD 33142,13.7,400.46379282,1.074,0.049,477.5,8.6781,5025.4,4.17,1.52,2.72,K0 III,2011.0
TOI-2421 b,TOI-2421,10.36830715,105.83685953,0.0543,0.0,1534.0,923.6,5607.0,1.75,1.131,7.5,,2022.0
Kepler-323 c,Kepler-323,1.57,6.8,0.0458,0.095,1431.0,700.0,6004.0,1.12,1.015,5.4,,2014.0
TOI-7510 b,TOI-7510,7.31,18.1,0.1019,0.0572,878.0,1678.5119,5720.0,1.035,1.063,4.4,G3,2025.0
HATS-17 b,HATS-17,8.709393,425.25654,0.1308,0.029,814.0,72.7,5846.0,1.091,1.131,2.1,G V,2016.0
K2-90 c,K2-90,1.3,2.24,0.035,0.19,908.07,80.8,4421.98,0.634754,0.704613,,,2016.0
TIC 260969020 b,TIC 260969020,2.22686612,5.59,,,,,4572.94,0.68988,0.75,,,2026.0
Kepler-867 b,Kepler-867,4.64,19.4,0.5375,0.0,327.0,2.72,5541.0,0.91,0.92,5.89,,2016.0
Kepler-315 c,Kepler-315,4.15,16.1,0.791,0.0,291.0,1.722,5796.0,1.037,0.831,12.3,,2014.0
Kepler-768 b,Kepler-768,1.79,3.86,0.092,0.0,618.0,40.589,5108.0,0.78,0.82,4.57,,2016.0
K2-251 b,K2-251,2.35,6.12,0.0694,,437.0,9.4444,3717.0,0.49,0.52,,,2018.0
KELT-6 c,KELT-6,13.0,1179.1493,2.39,0.21,241.9,0.5448,6272.0,1.529,1.126,4.9,F8,2015.0
TOI-5803 b,TOI-5803,3.2732,10.7,,,678.87,73.722,5134.0,0.7625,0.87,,,2023.0
Kepler-626 b,Kepler-626,2.29,5.86,0.10913,0.0,784.0,69.795,5813.0,1.05,1.01,5.37,,2016.0
Kepler-94 b,Kepler-94,3.51,10.84,0.03377,0.0,997.0,216.094,4781.0,0.76,0.81,1.41,M0 V,2014.0
MOA-2007-BLG-192L b,MOA-2007-BLG-192L,3.58,12.49,2.02,,,,,,0.28,,,2008.0
Kepler-47 d,Kepler-47,7.04,19.02,0.6992,0.024,314.44,1.7171,5636.0,0.936,0.957,,,2019.0
Kepler-325 d,Kepler-325,2.79,8.2,0.22,0.0,498.0,12.083,5752.0,1.003,0.914,0.93,,2014.0
Kepler-298 b,Kepler-298,1.96,4.5,0.08,0.0,540.0,24.707,4465.0,0.582,0.66,2.4,,2014.0
TOI-2136 b,TOI-2136,2.19,6.37,0.057,0.0,395.0,4.0,3342.0,0.34,0.34,4.6,M4.5 V,2022.0
TIC 279401253 c,TIC 279401253,12.6,2548.98382414,0.591,0.254,384.31,3.5788,5951.0,1.06,1.13,1.2,,2023.0
HD 11506 d,HD 11506,12.3,4068.2036096,18.2,0.29,77.07,0.0066,6123.0,1.24,1.22,2.5,G0 V,2022.0
Kepler-282 c,Kepler-282,1.2,1.87,0.106,0.0,717.0,116.117,5602.0,0.904,0.86,12.88,,2014.0
Kepler-811 b,Kepler-811,2.7,7.75,0.15911,0.0,730.0,78.59,5747.0,1.24,1.01,7.94,,2016.0
Kepler-1493 b,Kepler-1493,1.41,2.57,0.1197,0.0,874.0,137.91,5863.0,1.29,1.06,6.46,,2016.0
HAT-P-6 b,HAT-P-6,16.58932,419.5356,0.05239,0.0,1675.0,1099.44,6570.0,1.62,1.79,2.3,,2007.0
Kepler-1118 b,Kepler-1118,2.74,7.95,0.2079,0.0,502.0,20.011,5688.0,0.97,0.96,4.07,,2016.0
TRAPPIST-1 g,TRAPPIST-1,1.129,1.321,0.04683,0.00208,197.3,0.252,2566.0,0.1192,0.0898,7.6,M8.0 V,2017.0
WASP-185 b,WASP-185,14.01125,311.4734,0.0904,0.24,1160.0,662.3252,5900.0,1.5,1.12,6.6,G0 V,2019.0
Kepler-982 b,Kepler-982,2.25,5.69,0.1277,0.0,955.0,185.203,6139.0,1.29,1.16,3.55,,2016.0
TOI-4336 A c,TOI-4336 A,1.251,1.55,0.05092,0.0,399.5,4.24,3307.0,0.326,0.306,6.7,M3.5 V,2026.0
TOI-1752 c,TOI-1752,2.29,5.86,0.1614,,291.0,1.6973,3762.0,0.53,0.524,,M1.0&plusmn0.5 V,2026.0
K2-247 c,K2-247,2.19,5.43,0.0615,,688.0,34.7304,4667.0,0.69,0.74,,,2018.0
Kepler-1841 b,Kepler-1841,1.48912557,2.82,0.1606,0.0,542.0,20.35,5190.0,0.899,0.823,11.6,,2021.0
TOI-5261 b,TOI-5261,11.60129502,3651.84839643,0.05134,0.1585,1244.0,159.592,5790.0,1.021,1.037,4.2,,2025.0
K2-322 b,K2-322,1.92,4.35,0.0594,,635.0,25.9048,4141.0,0.602,0.63,,,2020.0
Kepler-1917 b,Kepler-1917,1.88971288,4.23,0.103,0.0,675.0,48.99,5530.0,0.788,0.882,,,2021.0
K2-293 b,K2-293,2.45,6.57,,,750.0,,5532.0,0.947,0.958,,,2019.0
HD 141004 b,HD 141004,3.77,13.63483866,0.1238,0.16,950.73,144.73,5885.38,1.389372,1.051904,6.32,G0Vvar,2021.0
HATS-44 b,HATS-44,11.960003,177.9848,0.03649,0.279,1161.0,306.417,5080.0,0.847,0.86,9.7,,2018.0
Kepler-168 c,Kepler-168,2.69,7.7,0.116,0.0,862.0,169.002,6282.0,1.107,1.113,2.29,,2014.0
TOI-1450 A c,TOI-1450 A,1.13,1.527,,,533.0,,3437.0,0.483,0.48,,M3.0 V,2024.0
HD 160691 b,HD 160691,,1366.6621501,1.5,0.0505,262.13,0.8439,5773.0,1.33,1.13,5.7,G3 IV-V,2000.0
Kepler-701 b,Kepler-701,2.84,8.45,0.0895,0.0,777.0,75.623,5343.0,0.84,0.88,4.47,,2016.0
Kepler-1515 b,Kepler-1515,9.55,66.2,0.75235,0.0,380.0,6.017,6511.0,1.41,1.3,1.82,,2016.0
TOI-5616 b,TOI-5616,10.78,624.0,0.0272,0.0,939.0,137.0,3996.0,0.646,0.666,7.2,,2024.0
Kepler-1723 b,Kepler-1723,2.88046569,8.65,0.2249,0.0,568.0,24.54,6072.0,1.01,0.96,3.3,,2021.0
Kepler-990 c,Kepler-990,1.53,2.96,0.01232,0.0,2386.0,5272.4,5948.0,1.08,1.05,3.55,,2016.0
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,13.6,413.1769291,3.54,,,,,,0.63,,,2023.0
TOI-4504 c,TOI-4504,11.09689089,1197.32317485,0.3569,0.032,182.8,0.2639,5315.0,0.92,0.89,10.0,K1 V,2024.0
Kepler-386 c,Kepler-386,1.58,3.12,0.155,0.0,513.0,16.657,5178.0,0.767,0.825,9.9,,2014.0
omi UMa b,omi UMa,13.0,1160.39151396,3.691,0.149,473.88,8.4795,5075.0,13.84,2.72,,G4 II-III,2012.0
KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,14.0,230.0,1.6,,,,,,0.33,,,2019.0
Kepler-1993 b,Kepler-1993,4.15,16.1,0.1943,0.0,903.0,157.45,5159.0,3.062,1.373,4.68,,2023.0
Kepler-207 b,Kepler-207,1.57,3.09,0.029,0.0,1930.0,4097.318,5920.0,1.588,1.313,3.63,,2014.0
Kepler-795 b,Kepler-795,1.68,3.46,0.1803,0.0,580.0,28.9,5631.0,0.96,0.94,6.46,,2016.0
Kepler-163 b,Kepler-163,1.05,1.16,0.078,0.0,906.0,115.612,5776.0,0.917,0.882,4.27,,2014.0
HD 149026 b,HD 149026,8.29466,120.7754,0.04364,0.0,1626.0,1095.91,6179.0,1.41,1.42,2.6,G0,2005.0
GJ 9689 b,GJ 9689,3.07,9.65,0.1139,0.29,453.04,4.8635,3836.0,0.57,0.59,8.9,M0.5,2020.0
